ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
ngandi,,32,ngn,nid,{},-13.8333333333,135.0,Australia,,Ngandi,1658,False,False
alyawarra,,558,aly,aly,{},-22.5,135.0,Australia,,Alyawarra,2122,False,False
djinang,,559,djn,dji,{},-12.3333333333,134.833333333,Australia,,Djinang,1303,False,False
ngalkbun,,44,nkb,ngk,{},-13.5,134.833333333,Australia,,Ngalkbun,1414,False,False
rembarnga,,40,rmb,rmb,{},-12.8333333333,134.583333333,Australia,,Rembarnga,949,False,False
burarra,,31,bua,bvr,{},-12.25,134.583333333,Australia,,Burarra,1923,False,False
warumungu,,559,wru,wrm,{},-19.5,134.5,Australia,,Warumungu,2573,False,False
nakkara,,36,nkk,nck,{},-12.1166666667,134.416666667,Australia,,Nakkara,1045,False,False
gurrgoni,,31,grg,gge,{},-12.25,134.416666667,Australia,,Gurr-goni,1393,False,False
alawa,,556,alw,alh,{},-15.1666666667,134.25,Australia,,Alawa,2169,False,False
ndjebbana,,35,ndj,djj,{},-12.1666666667,134.116666667,Australia,,Ndjébbana,1878,False,False
arrernte,,558,arr,"aer, are",{},-24.0,134.0,Australia,,Arrernte,17,False,False
wirangu,,558,wir,wiw,{},-32.0,134.0,Australia,,Wirangu,1207,False,False
gunbalang,,44,gnb,wlg,{},-12.0,134.0,Australia,,Gunbalang,1506,False,False
gugada,,559,gug,ktd,{},-30.0,134.0,Australia,,Gugada,1594,False,False
djingili,,562,dji,jig,{},-17.75,134.0,Australia,,Djingili,2059,False,False
ngalakan,,34,ngl,nig,{},-14.25,134.0,Australia,,Ngalakan,2271,False,False
kaytej,,558,kyt,gbb,{},-21.0,134.0,Australia,,Kaytej,2564,False,False
bininjgunwok,,44,bbw,gup,{},-12.5,133.75,Australia,,Bininj Gun-Wok,2172,False,False
maung,,38,mau,mph,{},-11.9166666667,133.5,Australia,,Maung,2465,True,True
mangarrayi,,55,myi,mpc,{},-14.6666666667,133.5,Australia,,Mangarrayi,2498,True,True
gaagudju,,49,gaa,gbu,{},-12.5833333333,132.833333333,Australia,,Gaagudju,1352,False,False
iwaidja,,38,iwa,ibd,{},-11.5,132.666666667,Australia,,Iwaidja,1507,False,False
arrerntewestern,,558,awe,are,{},-24.0,132.5,Australia,,Arrernte (Western),1439,False,False
warlpiri,,559,wrl,wbp,{},-20.0,132.333333333,Australia,,Warlpiri,2109,False,False
