ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
yaruro,,500,yrr,yae,{},7.0,-68.0,South America,,Yaruro,488,False,False
allentiac,,177,alc,,{},-31.0,-68.0,South America,,Allentiac,497,False,False
yahgan,,497,yah,yag,{},-55.0,-68.0,South America,,Yahgan,1434,False,False
tehuelche,,137,teh,teh,{},-48.0,-68.0,South America,,Tehuelche,1571,False,False
tacana,,403,tac,tna,{},-13.5,-68.0,South America,,Tacana,2241,False,False
canamari,,206,cnm,knm,{},-6.5,-68.5,South America,,Canamarí,294,False,False
curripaco,,549,cur,kpc,{},2.5,-68.5,South America,,Curripaco,311,False,False
puquina,,355,puq,,{},-16.5,-68.5,South America,,Puquina,832,False,False
atacameno,,219,atm,kuz,{},-23.0,-69.0,South America,,Atacameño,858,False,False
uru,,470,uru,ure,{},-16.75,-69.0,South America,,Uru,1011,False,False
guahibo,,164,ghb,guh,{},5.0,-69.0,South America,,Guahibo,1454,False,False
aymara central,,102,aym,"ayc, ayr",{},-17.0,-69.0,South America,,Aymara (Central),2392,False,True
tariana,,549,tar,tae,{},1.0,-69.1666666667,South America,,Tariana,2010,False,False
tucano,,452,tuc,tuo,{},0.5,-69.1666666667,South America,,Tucano,2089,False,False
hup,,261,hpd,jup,{},0.166666666667,-69.25,South America,,Hup,1721,False,False
piapoco,,549,ppc,pio,{},4.0,-69.5,South America,,Piapoco,430,False,False
piratapuyo,,452,prt,pir,{},0.333333333333,-69.5,South America,,Piratapuyo,431,False,False
guanano,,452,gno,gvc,{},0.833333333333,-69.5,South America,,Guanano,535,False,False
maku,,245,mkw,,{},0.416666666667,-69.8333333333,South America,,Máku,386,False,False
desano,,452,des,des,{},0.833333333333,-69.8333333333,South America,,Desano,1027,False,False
cuiba,,164,cui,cui,{},6.5,-70.0,South America,,Cuiba,1165,False,False
sharanahua,,342,shh,mcd,{},-11.0,-70.0,South America,,Sharanahua,1200,False,False
cacua,,114,cac,cbv,{},1.08333333333,-70.0,South America,,Cacua,1349,False,False
salibaincolombia,,357,sba,slc,{},6.0,-70.0,South America,,Sáliba (in Colombia),1662,False,False
selknam,,137,sel,ona,{},-53.0,-70.0,South America,,Selknam,2305,False,True
tuyuca,,452,tuy,tue,{},0.5,-70.0833333333,South America,,Tuyuca,1575,False,False
macuna,,452,mcn,myy,{},-0.333333333333,-70.1666666667,South America,,Macuna,384,False,False
siriano,,452,sri,sri,{},0.75,-70.1666666667,South America,,Siriano,448,False,False
