ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
waraywaray,,513,wwy,war,{},12.0,125.0,Papunesia,,Waray-Waray,247,False,False
kulamanen,,513,kuz,mbt,{},7.75,125.0,Papunesia,,Kulamanen,552,False,False
tondano,,523,tno,tdn,{},1.25,125.0,Papunesia,,Tondano,1987,False,False
binukid,,513,bkd,bkd,{},8.25,124.833333333,Papunesia,,Binukid,515,False,False
toratan,,524,tor,rth,{},1.08333333333,124.833333333,Papunesia,,Toratán,1053,False,False
manadonese,,519,mds,xmm,{},1.5,124.833333333,Papunesia,,Manadonese,1466,False,False
woisika,,417,woi,woi,{},-8.25,124.833333333,Papunesia,,Woisika,1884,False,False
bantik,,524,bnt,bnq,{},1.41666666667,124.75,Papunesia,,Bantik,645,False,False
manobowesternbukidnon,,513,mwb,mbb,{},7.66666666667,124.75,Papunesia,,Manobo (Western Bukidnon),1765,False,False
abui,,417,abv,abz,{},-8.25,124.666666667,Papunesia,,Abui,2644,False,False
kuiinindonesia,,417,kiu,kvd,{},-8.43333333333,124.55,Papunesia,,Kui (in Indonesia),810,False,False
magindanao,,513,mgn,mdh,{},6.83333333333,124.5,Papunesia,,Magindanao,158,False,False
timorese,,75,tse,aoz,{},-9.66666666667,124.5,Papunesia,,Timorese,611,False,False
tontemboan,,523,tnt,tnt,{},1.08333333333,124.5,Papunesia,,Tontemboan,612,False,False
tboli,,517,tbo,tbl,{},6.16666666667,124.5,Papunesia,,Tboli,1881,False,False
maranao,,513,mrn,mrw,{},7.83333333333,124.25,Papunesia,,Maranao,1189,False,False
tiruray,,517,try,tiy,{},6.75,124.166666667,Papunesia,,Tiruray,1489,False,False
mongondow,,513,mgd,mog,{},0.666666666667,124.0,Papunesia,,Mongondow,566,False,False
cebuano,,513,ceb,ceb,{},10.0,124.0,Papunesia,,Cebuano,2018,False,False
adang,,417,adg,adn,{},-8.2,124.0,Papunesia,,Adang,2645,False,False
kedang,,75,ked,ksx,{},-8.25,123.75,Papunesia,,Kedang,1245,False,False
bikol,,513,bkl,bcl,{},13.3333333333,123.5,Papunesia,,Bikol,1672,False,False
tukangbesi,,526,tuk,"bhq, khc",{},-5.5,123.5,Papunesia,,Tukang Besi,2506,True,True
balantak,,526,blk,blz,{},-0.833333333333,123.25,Papunesia,,Balantak,642,False,False
roti,,75,rti,twu,{},-10.6666666667,123.25,Papunesia,,Roti,1006,False,False
banggai,,526,bgg,bgz,{},-1.41666666667,123.166666667,Papunesia,,Banggai,860,False,False
hiligaynon,,513,hil,hil,{},10.25,123.0,Papunesia,,Hiligaynon,1550,False,False
bajausama,,76,baj,bdl,{},-4.33333333333,123.0,Papunesia,,Bajau (Sama),1948,False,False
lamaholot,,75,lmh,slp,{},-8.25,122.916666667,Papunesia,,Lamaholot,1554,False,False
wolio,,526,wlo,wlo,{},-5.5,122.75,Papunesia,,Wolio,1885,False,False
muna,,526,mna,mnb,{},-5.0,122.5,Papunesia,,Muna,2269,False,False
aklanon,,513,akl,akl,{},11.5833333333,122.333333333,Papunesia,,Aklanon,629,False,False
sika,,75,sik,ski,{},-8.7,122.25,Papunesia,,Sika,216,False,False
chavacano,,331,cvc,cbk,{},7.0,122.083333333,Papunesia,,Chavacano,788,False,False
agtadupaningan,,513,agd,duo,{},18.0,122.083333333,Papunesia,,Agta (Dupaningan),2630,False,False
gorontalo,,513,grt,gor,{},0.5,122.0,Papunesia,,Gorontalo,87,False,False
ivatan,,516,iva,ivv,{},20.5,122.0,Papunesia,,Ivatan,118,False,False
dumagatcasiguran,,514,dca,dgc,{},16.3333333333,122.0,Papunesia,,Dumagat (Casiguran),314,False,False
yakan,,76,ykn,yka,{},6.5,122.0,Papunesia,,Yakan,771,False,False
sawu,,75,saw,hvn,{},-11.5,121.916666667,Papunesia,,Sawu,1621,False,False
samabalangingi,,76,sbg,sse,{},6.16666666667,121.833333333,Papunesia,,Sama (Balangingi),594,False,False
ivatansouthern,,516,ivs,ivv,{},20.3333333333,121.833333333,Papunesia,,Ivatan (Southern),1239,False,False
agtacentral,,513,agc,agt,{},17.9666666667,121.833333333,Papunesia,,Agta (Central),1822,False,False
ibanag,,514,ibn,ibg,{},17.5,121.666666667,Papunesia,,Ibanag,105,False,False
itawis,,514,itw,itv,{},17.75,121.5,Papunesia,,Itawis,337,False,False
yami,,516,ymi,tao,{},22.0,121.5,Papunesia,,Yami,487,False,False
seediq,,89,see,trv,{},24.1666666667,121.416666667,Papunesia,,Seediq,1708,False,False
padoe,,526,pad,pdo,{},-2.33333333333,121.333333333,Papunesia,,Padoe,828,False,False
