ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
pomocentral,,176,pmc,poo,{},39.0,-123.333333333,North America,,Pomo (Central),946,False,False
saanich,,360,sch,str,{},48.5833333333,-123.416666667,North America,,Saanich,210,False,False
yuki,,484,yki,yuk,{},39.6666666667,-123.5,North America,,Yuki,623,False,False
carrier,,262,crq,crx,{},53.75,-123.5,North America,,Carrier,664,False,False
pomonorthern,,176,pmn,pej,{},39.3333333333,-123.5,North America,,Pomo (Northern),1003,False,False
chinooklower,,346,ckl,chh,{},46.25,-123.5,North America,,Chinook (Lower),1793,False,False
kato,,262,kto,ktw,{},39.6666666667,-123.666666667,North America,,Kato,354,False,False
hupa,,262,hup,hup,{},41.0833333333,-123.666666667,North America,,Hupa,2217,False,False
sooke,,360,soo,str,{},48.3333333333,-123.75,North America,,Sooke,219,False,False
clallam,,360,cla,clm,{},48.0833333333,-123.75,North America,,Clallam,667,False,False
tillamook,,361,til,til,{},45.3333333333,-123.75,North America,,Tillamook,760,False,False
alsea,,328,als,aes,{},44.6666666667,-123.916666667,North America,,Alsea,1061,False,False
chastacosta,,262,cco,,{},42.6666666667,-124.0,North America,,Chasta Costa,298,False,False
siuslaw,,329,siu,sis,{},44.0,-124.0,North America,,Siuslaw,2232,False,False
yurok,,16,yur,yur,{},41.3333333333,-124.0,North America,,Yurok,2407,False,True
mattole,,262,mtl,mvb,{},40.1666666667,-124.166666667,North America,,Mattole,389,False,False
wiyot,,18,wiy,wiy,{},40.8333333333,-124.166666667,North America,,Wiyot,2244,False,False
cooshanis,,327,coo,csz,{},43.5,-124.166666667,North America,,Coos (Hanis),2427,False,True
quileute,,131,qui,qui,{},47.9166666667,-124.25,North America,,Quileute,2296,False,False
makah,,481,mak,myh,{},48.3333333333,-124.666666667,North America,,Makah,2379,True,True
nitinaht,,481,nit,noo,{},48.6666666667,-124.75,North America,,Nitinaht,421,False,False
comox,,360,cmx,coo,{},50.1666666667,-125.0,North America,,Comox,1446,False,False
slave,,262,sla,"scs, xsl",{},67.0,-125.0,North America,,Slave,2517,True,True
bellacoola,,363,bco,blc,{},52.5,-126.666666667,North America,,Bella Coola,2131,False,False
nuuchahnulth,,481,nuu,noo,{},49.6666666667,-126.666666667,North America,,Nuuchahnulth,2191,False,False
kwakwala,,482,kwk,kwk,{},51.0,-127.0,North America,,Kwakw'ala,2137,False,False
kyuquot,,481,kyq,noo,{},50.1666666667,-127.166666667,North America,,Kyuquot,1361,False,False
heiltsuk,,482,hei,hei,{},52.0,-127.5,North America,,Heiltsuk,1394,False,False
gitksan,,352,git,git,{},55.3333333333,-127.75,North America,,Gitksan,1549,False,False
haisla,,482,hsl,has,{},54.0,-128.75,North America,,Haisla,98,False,False
tsimshiancoast,,352,tsi,tsi,{},52.5,-129.0,North America,,Tsimshian (Coast),2380,False,True
nisgha,,352,nsg,ncg,{},55.0,-130.0,North America,,Nisgha,2005,False,False
haida,,167,hai,"hax, hdn",{},53.0,-132.0,North America,,Haida,2396,False,True
haidanorthern,,167,hno,hdn,{},54.0,-132.5,North America,,Haida (Northern),682,False,False
kangiryuarmiut,,158,kgt,ikt,{},68.3333333333,-133.75,North America,,Kangiryuarmiut,345,False,False
tlingit,,263,tli,tli,{},59.0,-135.0,North America,,Tlingit,2372,False,True
tutchonenorthern,,262,tut,ttm,{},63.0,-137.0,North America,,Tutchone (Northern),475,False,False
tanacross,,262,tnc,tcb,{},63.5,-143.5,North America,,Tanacross,1624,False,False
