ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
uraklawoi,,519,url,urk,{},8.0,98.3333333333,Eurasia,,Urak Lawoi',1917,False,False
lahu,,380,lah,lhu,{},20.0,98.1666666667,Eurasia,,Lahu,2358,False,False
dolgan,,19,dol,dlg,{},71.25,98.0,Eurasia,,Dolgan,53,False,False
tofa,,19,tof,kim,{},53.75,98.0,Eurasia,,Tofa,470,False,False
shan,,404,sha,shn,{},22.0,98.0,Eurasia,,Shan,1480,False,False
lisu,,380,lis,lis,{},26.0,98.0,Eurasia,,Lisu,1692,False,False
amdothemchen,,389,amt,adx,{},38.0,98.0,Eurasia,,Amdo (Themchen),2614,False,False
rawang,,385,raw,raw,{},27.5,97.5,Eurasia,,Rawang,2008,False,False
kayahlieastern,,378,kyl,eky,{},19.0,97.5,Eurasia,,Kayah Li (Eastern),2376,False,True
karenbwe,,378,kbw,bwe,{},19.5,97.0,Eurasia,,Karen (Bwe),1802,False,False
karensgaw,,378,ksg,ksw,{},18.0,97.0,Eurasia,,Karen (Sgaw),2136,False,False
jingpho,,377,jng,kac,{},25.4166666667,97.0,Eurasia,,Jingpho,2154,False,False
palaung,,69,plg,"pce, rbb",{},22.6666666667,96.6666666667,Eurasia,,Palaung,1566,False,False
khamtibetannangchen,,389,knz,khg,{},32.5,96.5,Eurasia,,Kham (Tibetan) (Nangchen),2617,False,False
tutsa,,388,tvt,tvt,{},27.5,96.5,Eurasia,,Tutsa,2624,False,False
lungchang,,388,lun,nst,{},27.5,96.4166666667,Eurasia,,Lungchang,1186,False,False
jugli,,388,jug,nst,{},27.5,96.3333333333,Eurasia,,Jugli,1074,False,False
miju,,382,mij,mxj,{},29.0,96.0,Eurasia,,Miju,390,False,False
digaro,,376,dig,mhu,{},28.4166666667,96.0,Eurasia,,Digaro,1928,False,False
burmese,,380,brm,mya,{},21.0,96.0,Eurasia,,Burmese,2496,True,True
idu,,376,idu,clk,{},29.3333333333,95.8333333333,Eurasia,,Idu,1172,False,False
nocte,,388,noc,njb,{},27.0,95.5,Eurasia,,Nocte,1615,False,False
acehnese,,519,ace,ace,{},5.5,95.5,Eurasia,,Acehnese,2343,False,False
milang,,382,mil,adi,{},28.5,95.25,Eurasia,,Milang,818,False,False
tuvan,,19,tuv,tyv,{},52.0,95.0,Eurasia,,Tuvan,2292,False,False
mising,,382,msg,mrg,{},28.5,94.8333333333,Eurasia,,Mising,1807,False,False
bori,,382,boj,adi,{},28.3333333333,94.75,Eurasia,,Bori,1024,False,False
chang,,388,chg,nbc,{},26.3333333333,94.75,Eurasia,,Chang,1750,False,False
bokar,,382,boq,adi,{},28.5,94.6666666667,Eurasia,,Bokar,784,False,False
galo,,382,gal,adi,{},28.1666666667,94.6666666667,Eurasia,,Galo,1453,False,False
ao,,386,ao,njo,{},26.5833333333,94.6666666667,Eurasia,,Ao,2170,False,False
angami,,386,agm,"njm, nri",{},25.6666666667,94.5,Eurasia,,Angami,1823,False,False
nagatangkhul,,386,ngt,nmf,{},25.0,94.5,Eurasia,,Naga (Tangkhul),1877,False,False
sema,,386,sem,nsm,{},26.0,94.5,Eurasia,,Sema,1962,False,False
nagamao,,386,nma,nbi,{},25.5,94.3333333333,Eurasia,,Naga (Mao),1730,False,False
lotha,,386,lot,njh,{},26.5,94.25,Eurasia,,Lotha,1650,False,False
tarao,,386,tao,tro,{},24.25,94.1666666667,Eurasia,,Tarao,1486,False,False
kabui,,386,kbi,nkf,{},24.8333333333,94.0,Eurasia,,Kabui,123,False,False
nagapidgin,,331,npn,nag,{},25.6666666667,94.0,Eurasia,,Naga Pidgin,407,False,False
kott,,503,ktt,,{},57.0,94.0,Eurasia,,Kott,551,False,False
chinsiyin,,386,chs,csy,{},23.8333333333,94.0,Eurasia,,Chin (Siyin),1752,False,False
meithei,,386,mei,mni,{},24.75,94.0,Eurasia,,Meithei,2494,True,True
thadou,,386,thd,tcz,{},24.4166666667,93.9166666667,Eurasia,,Thadou,903,False,False
nicobarese,,68,nic,ncb,{},7.0,93.8333333333,Eurasia,,Nicobarese,189,False,False
mirihill,,382,mhl,mrg,{},27.9166666667,93.8333333333,Eurasia,,Miri (Hill):,2626,False,False
apatani,,382,apt,apt,{},27.5,93.75,Eurasia,,Apatani,1746,False,False
shompen,,373,smp,,{},7.0,93.75,Eurasia,,Shompen,2629,False,False
chintiddim,,386,cti,ctd,{},23.3333333333,93.6666666667,Eurasia,,Chin (Tiddim),2019,False,False
lai,,386,lai,cnh,{},22.6666666667,93.6666666667,Eurasia,,Lai,2176,False,False
nagazeme,,386,nze,nzm,{},25.1666666667,93.5,Eurasia,,Naga (Zeme),1471,False,False
mikir,,386,mik,mjw,{},26.3333333333,93.5,Eurasia,,Mikir,1840,False,False
nancowry,,68,nnc,ncb,{},8.05,93.5,Eurasia,,Nancowry,1908,False,False
nyishi,,382,nis,dap,{},27.5,93.5,Eurasia,,Nyishi,2006,False,False
sulung,,401,slg,suv,{},28.3333333333,93.25,Eurasia,,Sulung,838,False,False
paite,,386,pte,pck,{},24.0,93.1666666667,Eurasia,,Paite,197,False,False
chinmara,,386,cmr,mrh,{},23.0,93.1666666667,Eurasia,,Chin (Mara),1751,False,False
akacari,,163,akc,aci,{},13.5,93.0,Eurasia,,Aka-Cari,6,False,False
oirat,,20,oir,xal,{},37.5,93.0,Eurasia,,Oirat,999,False,False
dimasa,,383,dms,dis,{},25.5,93.0,Eurasia,,Dimasa,1449,False,False
hmar,,386,hma,hmr,{},24.1666666667,93.0,Eurasia,,Hmar,1640,False,False
assamese,,182,ass,asm,{},26.0,93.0,Eurasia,,Assamese,1715,False,False
nganasan,,463,nga,nio,{},71.0,93.0,Eurasia,,Nganasan,2048,False,False
nicobaresecar,,68,nca,caq,{},9.0,93.0,Eurasia,,Nicobarese (Car),2253,False,False
apucikwar,,163,apk,apq,{},12.1666666667,92.8333333333,Eurasia,,A-Pucikwar,1,False,False
mizo,,386,miz,lus,{},23.1666666667,92.8333333333,Eurasia,,Mizo,2139,False,False
akakede,,163,akk,akx,{},12.75,92.75,Eurasia,,Aka-Kede,7,False,False
ralte,,386,ral,ral,{},23.75,92.75,Eurasia,,Ralte,2625,False,False
greatandamanese,,163,gan,apq,{},12.0,92.6666666667,Eurasia,,Great Andamanese,1754,False,False
jarawainandamans,,399,jrw,anq,{},12.0,92.5833333333,Eurasia,,Jarawa (in Andamans),879,False,False
bugun,,374,bgn,,{},27.5,92.5833333333,Eurasia,,Bugun,1063,False,False
akabiada,,163,akb,abj,{},11.6666666667,92.5,Eurasia,,Aka-Biada,5,False,False
arakanesemarma,,380,akm,mhv,{},21.5,92.5,Eurasia,,Arakanese (Marma),14,False,False
sherdukpen,,374,shd,sdp,{},27.0,92.5,Eurasia,,Sherdukpen,447,False,False
kokborok,,383,kok,trp,{},24.3333333333,92.5,Eurasia,,Kokborok,1803,False,False
hyow,,386,hyo,csh,{},22.0833333333,92.4166666667,Eurasia,,Hyow,104,False,False
khumi,,386,khu,cnk,{},21.9166666667,92.4166666667,Eurasia,,Khumi,358,False,False
onge,,399,ong,oon,{},10.75,92.4166666667,Eurasia,,Onge,1522,False,False
bawm,,386,baw,bgr,{},22.5,92.25,Eurasia,,Bawm,2393,False,True
tshangla,,389,tgl,tsj,{},27.8333333333,92.1666666667,Eurasia,,Tshangla,1573,False,False
kamass,,463,kms,xas,{},52.0,92.0,Eurasia,,Kamass,1642,False,False
bodo,,383,bod,brx,{},26.8333333333,92.0,Eurasia,,Bodo,2072,False,False
khasi,,71,khs,kha,{},25.5,92.0,Eurasia,,Khasi,2446,False,True
bengalichittagong,,182,bec,ctg,{},22.3333333333,91.8333333333,Eurasia,,Bengali (Chittagong),285,False,False
tibetanmodernliterary,,389,tmo,bod,{},29.8333333333,91.5,Eurasia,,Tibetan (Modern Literary),1741,False,False
kachari,,383,kac,xac,{},26.5,91.0,Eurasia,,Kachari,1357,False,False
tibetanstandardspoken,,389,tib,bod,{},30.0,91.0,Eurasia,,Tibetan (Standard Spoken),2182,False,False
garo,,383,gar,grt,{},25.6666666667,90.5,Eurasia,,Garo,2403,False,True
deuri,,383,deu,der,{},26.0,90.25,Eurasia,,Deuri,1111,False,False
yugh,,503,yug,yuu,{},61.0,90.0,Eurasia,,Yugh,258,False,False
khakas,,19,khk,kjh,{},53.0,90.0,Eurasia,,Khakas,1399,False,False
bengali,,182,ben,ben,{},24.0,90.0,Eurasia,,Bengali,2147,False,False
chulym,,19,cly,clw,{},54.3333333333,89.6666666667,Eurasia,,Chulym,47,False,False
tibetanshigatse,,389,tis,bod,{},29.0,89.0,Eurasia,,Tibetan (Shigatse),758,False,False
